ENSG00000223972	chr1	11869	14409
ENSG00000227232	chr1	14404	29570
ENSG00000278267	chr1	17369	17436
ENSG00000243485	chr1	29554	31109
ENSG00000284332	chr1	30366	30503
ENSG00000237613	chr1	34554	36081
ENSG00000268020	chr1	52473	53312
ENSG00000240361	chr1	57598	64116
ENSG00000186092	chr1	65419	71585
ENSG00000238009	chr1	89295	133723
ENSG00000239945	chr1	89551	91105
ENSG00000233750	chr1	131025	134836
ENSG00000268903	chr1	135141	135895
ENSG00000269981	chr1	137682	137965
ENSG00000239906	chr1	139790	140339
ENSG00000241860	chr1	141474	173862
ENSG00000222623	chr1	157784	157887
ENSG00000241599	chr1	160446	161525
ENSG00000279928	chr1	182696	184174
ENSG00000279457	chr1	185217	195411
ENSG00000273874	chr1	187891	187958
ENSG00000228463	chr1	257864	359681
ENSG00000286448	chr1	266855	268655
ENSG00000236679	chr1	347982	348366
ENSG00000236601	chr1	358857	366052
ENSG00000237094	chr1	365389	522928
ENSG00000269732	chr1	439870	440232
ENSG00000284733	chr1	450703	451697
ENSG00000233653	chr1	487101	489906
ENSG00000250575	chr1	491225	493241
ENSG00000278757	chr1	516376	516479
ENSG00000230021	chr1	586071	827796
ENSG00000235146	chr1	587629	594768
ENSG00000225972	chr1	629062	629433
ENSG00000225630	chr1	629640	630683
ENSG00000237973	chr1	631074	632616
ENSG00000278791	chr1	632325	632413
ENSG00000229344	chr1	632757	633438
ENSG00000240409	chr1	633535	633741
ENSG00000248527	chr1	633696	634376
ENSG00000198744	chr1	634376	634922
ENSG00000268663	chr1	674842	675265
ENSG00000284662	chr1	685679	686673
ENSG00000229376	chr1	722092	724903
ENSG00000228327	chr1	725885	778626
ENSG00000223181	chr1	758233	758336
ENSG00000229905	chr1	760911	761989
ENSG00000237491	chr1	778747	810065
ENSG00000285268	chr1	781937	782050
ENSG00000230092	chr1	800879	817712
ENSG00000177757	chr1	817371	819837
ENSG00000228794	chr1	825138	859446
ENSG00000225880	chr1	826206	827522
ENSG00000288531	chr1	860226	868202
ENSG00000230368	chr1	868071	876903
ENSG00000234711	chr1	873292	874349
ENSG00000283040	chr1	874529	877234
ENSG00000272438	chr1	904834	915976
ENSG00000230699	chr1	911435	914948
ENSG00000241180	chr1	914171	914971
ENSG00000223764	chr1	916865	921016
ENSG00000187634	chr1	923928	944581
ENSG00000188976	chr1	944203	959309
ENSG00000187961	chr1	960584	965719
ENSG00000187583	chr1	966482	975865
ENSG00000187642	chr1	975204	982093
ENSG00000272512	chr1	995966	998051
ENSG00000188290	chr1	998962	1000172
ENSG00000187608	chr1	1001138	1014540
ENSG00000231702	chr1	1008076	1008229
ENSG00000224969	chr1	1011997	1013193
ENSG00000188157	chr1	1020120	1056118
ENSG00000242590	chr1	1055033	1056116
ENSG00000217801	chr1	1059708	1069355
ENSG00000273443	chr1	1062208	1063288
ENSG00000237330	chr1	1070967	1074306
ENSG00000131591	chr1	1081818	1116361
ENSG00000285812	chr1	1097585	1104598
ENSG00000223823	chr1	1137017	1144056
ENSG00000207730	chr1	1167104	1167198
ENSG00000207607	chr1	1167863	1167952
ENSG00000198976	chr1	1169005	1169087
ENSG00000272141	chr1	1169357	1170343
ENSG00000205231	chr1	1173056	1179555
ENSG00000162571	chr1	1173880	1197936
ENSG00000186891	chr1	1203508	1206592
ENSG00000186827	chr1	1211340	1214153
ENSG00000078808	chr1	1216908	1232067
ENSG00000176022	chr1	1232237	1235041
ENSG00000184163	chr1	1242446	1246722
ENSG00000260179	chr1	1249777	1251334
ENSG00000160087	chr1	1253909	1273864
ENSG00000230415	chr1	1275223	1280420
ENSG00000162572	chr1	1280436	1292029
ENSG00000131584	chr1	1292390	1309609
ENSG00000278073	chr1	1296110	1296170
ENSG00000169972	chr1	1308597	1311677
ENSG00000127054	chr1	1311585	1324687
ENSG00000283712	chr1	1312502	1312566
ENSG00000240731	chr1	1317581	1318689
